weight_class,round,winner,winner_school,win_method,score,loser,loser_school
131,Cons. Round 3,Olivia Messerly,Campbellsville,TF,13-2,Mary Jane Porter,Cumberlands
131,Cons. Round 3,Andrea Hernandez,Indiana Tech,Fall,2:28,Paige Respicio,Providence
131,Cons. Round 3,Larissa Kaz,Hastings,Fall,3:49,Destiny Campbell,Oklahoma City
131,Cons. Round 3,Ashlee Palimoo,Doane,Dec,4-3,Cameron Ortiz,Campbellsville
138,Cons. Round 3,Serenity De La Garza,Missouri Valley,Fall,3:37,Lilly Gough,Central Methodist
138,Cons. Round 3,Isabelle Hawley,William Penn,Fall,2:13,Addison Messerly,Campbellsville
138,Cons. Round 3,Natalia Posada,Oklahoma City,Dec,12-10,Kailey Rees,Providence
138,Cons. Round 3,Livia Swift,Ottawa,Fall,1:51,Araya Boday,Saint Mary
145,Cons. Round 3,Bridgette Sotomayor,Doane,Dec,9-4,Emma Stice,Hastings
145,Cons. Round 3,Anastasia Hardin,Missouri Baptist,Fall,1:53,Berlyn Davis,Westcliff
145,Cons. Round 3,Alivia Ming,Cumberlands,Fall,2:16,Aniseta Acosta,Missouri Valley
145,Cons. Round 3,Esther Han,Providence,Fall,5:53,Ann Marie Meiman,Jamestown
160,Cons. Round 3,Kylee Tait,Campbellsville,Fall,5:36,Kiley Hubby,Dickinson State
160,Cons. Round 3,Alexa Wolf,William Penn,Fall,5:48,Corin Lowe,Oklahoma City
160,Cons. Round 3,Taydem Khamjoi,Texas Wesleyan,TF,12-0,Emmalee Spurgeon,Grand View
160,Cons. Round 3,Abigail Sebesta,Ottawa,Fall,1:10,Hailey Sutton,Providence
180,Cons. Round 3,America Lopez,William Penn,TF,11-0,Marissa Patterson,Hastings
180,Cons. Round 3,Lillian Gradillas-Flores,Southern Oregon,Fall,0:48,Yazmin Belk,Doane
180,Cons. Round 3,Siara Arrington,Ottawa,Fall,1:03,Kaylee Davis,Ottawa
180,Cons. Round 3,Catherine McNulty,Indiana Tech,Dec,2-2,Grace Doering,Indiana Tech
207,Cons. Round 3,Brianna Staebler,Campbellsville,Fall,0:35,Grace Todhunter,Jamestown
207,Cons. Round 3,Mariyah Brumley,William Woods,Fall,0:55,Hailey Romero,Doane
207,Cons. Round 3,MaQuoia Bernabe,Cumberlands,Dec,2-1,Kena Leonard,Ottawa
207,Cons. Round 3,Leilani Sanchez,Wayland Baptist,Fall,4:39,Naomi Duenas,Cumberlands
103,Cons. Round 4,Karina Vang,Doane,Dec,3-3,Malarie Dominguez,Wayland Baptist
103,Cons. Round 4,Angelina Casteneda,Cumberlands,TF,10-0,Eyvori Jacquez,Saint Mary
103,Cons. Round 4,Sofia Abramson,Oklahoma City,Fall,2:15,Katherine Hernandez,Life
103,Cons. Round 4,Alexis Hatfield,Avila,Dec,8-5,Dutchess King,Cumberlands
110,Cons. Round 4,Nizhoni Tallman-Olney,Evergreen State,Dec,6-5,Lita Cruz,Grand View
110,Cons. Round 4,Alexsys Jacquez,Saint Mary,TF,15-4,Reagan Thomas,Lindsey Wilson
110,Cons. Round 4,Tristan Nitta,Grand View,Fall,2:55,Jenna Gerhardt,Dickinson State
110,Cons. Round 4,Tehani Soares,Indiana Tech,Fall,2:07,Kayla Shota,Providence
117,Cons. Round 4,Icart Galumette,Campbellsville,TF,12-2,Cailin Campbell,Grand View
