weight_class,round,winner,winner_school,win_type,loser,loser_school,score
131,Quarterfinal,Jumoke Adekoye,Dickinson State,tech fall,Alexis Schneider,Bismarck State,TF 10-0
131,Quarterfinal,Waipuilani Estrella-Beauchamp,Providence,fall,Kendall Bostelman,William Penn,Fall 4:09
131,Cons. Round 2,Elizabeth Duvall,Texas Wesleyan,decision,Ashlee Palimo`o,Doane,Dec 8-3
131,Cons. Round 2,Jill High,York,fall,Lexie Garza,Eastern Oregon,Fall 1:36
131,Cons. Round 2,Bronwyn Brenneman,William Penn,fall,Bryce White,Oklahoma City,Fall 5:50
131,Cons. Round 2,Madison Pena,Wayland Baptist,tech fall,Makenna Duran,Eastern Oregon,TF 16-5
131,Cons. Round 2,Jade Morales,Southern Oregon,decision,Aileya Sath,Baker,Dec 7-0
131,Champ. Round 2,Sarah Savidge,Life,fall,Jade Morales,Southern Oregon,Fall 1:48
131,Champ. Round 2,Jeila Ramos,Lindsey Wilson,fall,Olivia Messerly,Campbellsville,Fall 1:13
131,Champ. Round 2,Larissa Kaz,Hastings,tech fall,Makenna Duran,Eastern Oregon,TF 12-2
131,Champ. Round 2,Olivia Mottley,Life,decision,Bronwyn Brenneman,William Penn,Dec 8-0
131,Champ. Round 2,Jumoke Adekoye,Dickinson State,tech fall,Lexie Garza,Eastern Oregon,TF 10-0
131,Champ. Round 2,Alexis Schneider,Bismarck State,decision,Mary Jane Porter,Cumberlands,Dec 9-2
131,Champ. Round 2,Kendall Bostelman,William Penn,tech fall,Andrea Hernandez,Indiana Tech,TF 11-0
131,Champ. Round 2,Waipuilani Estrella-Beauchamp,Providence,fall,Ashlee Palimo`o,Doane,Fall 2:27
131,Champ. Round 1,Sarah Savidge,Life,tech fall,Elizabeth Duvall,Texas Wesleyan,TF 11-0
131,Champ. Round 1,Olivia Mottley,Life,tech fall,Jill High,York,TF 11-0
131,Champ. Round 1,Jumoke Adekoye,Dickinson State,tech fall,Bryce White,Oklahoma City,TF 10-0
